,Architecture,CPU(s),CPU MHz,CPU max MHz,CPU min MHz,L1d cache,L1i cache,L2 cache,L3 cache,hyper_thread,N,O1,O2,test_number,loss
12,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,2,26.2707340145
13,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,2,0.0
14,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,25,1,0,3,24.32699366664003
15,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,50,1,0,3,14.902711667087694
16,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,100,1,0,3,6.976616384310765
17,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,3,5.958363448913608
18,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,3,3.6983539046195495
19,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,300,1,0,3,2.342525370435355
20,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,500,1,0,3,2.476533417666586
21,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1000,1,0,3,1.2080745492862772
22,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1200,1,0,3,0.3836033188197501
23,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,25,1,0,4,0.0
24,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,50,1,0,4,1.9975878184833402
25,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,100,1,0,4,0.4686878244242078
26,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,4,0.5180085694167816
27,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,4,0.6542651401158576
28,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,300,1,0,4,0.8038004789992611
29,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,500,1,0,4,0.7502962250317983
30,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1000,1,0,4,0.4602779266851452
31,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1200,1,0,4,0.20833215795561527
0,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,25,1,0,4,3.952569169960473
1,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,50,1,0,4,1.9029727722596161
2,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,100,1,0,4,0.7283161090175311
3,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,4,0.657971035721285
4,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,4,0.9475125371650794
5,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,300,1,0,4,0.8017165001461602
6,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,500,1,0,4,1.4632687963941937
7,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1000,1,0,4,1.3060108330139741
8,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1200,1,0,4,1.7333657828270277
9,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,25,1,0,1,9.430431348418065
10,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,50,1,0,1,11.48801459227218
11,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,100,1,0,1,11.496503012392724
12,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,1,8.506436619790092
13,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,1,20.536788818041487
14,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,300,1,0,1,24.325392382667978
15,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,500,1,0,1,13.93247079258681
16,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1000,1,0,1,16.05324675960491
17,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1200,1,0,1,13.82324523996641
18,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,25,1,0,2,0.0
19,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,50,1,0,2,0.0
20,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,100,1,0,2,0.0
21,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,2,25.8080662981
22,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,2,0.0
23,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,25,1,0,2,0.0
24,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,50,1,0,2,0.0
